Year,Team_Strengh_Last_Year,Team,Recruits,Class_Points,Conference,Picks,Points,QB_Drafted
2010,-13.8393210974626,Indiana State,NA,NA,NA,0,0,0
2010,20.4810880249515,Iowa,31,193.59,Big-Ten,6,41,0
2010,7.64484556154522,Iowa State,31,161.08,Big-12,1,0.1,0
2010,-18.5222512137492,Jackson State,NA,NA,NA,0,0,0
2010,10.6261371385903,Jacksonville State,NA,NA,NA,0,0,0
2010,3.94396347012266,James Madison,NA,NA,NA,2,2.4,0
2010,12.1817042513203,Kansas,25,167.21,Big-12,3,8,0
2010,9.69173896170581,Kansas State,24,149.68,Big-12,1,3.1,0
2010,-4.51367469478464,Kent State,23,131.18,MAC,1,0.1,0
2010,16.6832999766537,Kentucky,28,178.93,SEC,3,14.7,0
2010,6.88796585343194,Liberty,NA,NA,NA,0,0,0
2010,23.4220350052022,Louisiana State,27,263.7,SEC,6,24.9,0
2010,6.50195189659145,Louisiana Tech,23,133.05,C-USA,2,8.9,0
2010,-7.74056659059774,Louisiana-Lafayette,23,84.21,SBC,1,2.7,0
2010,-2.19841874212404,Louisiana-Monroe,20,83.34,SBC,0,0,0
2010,3.0040933817474,Louisville,28,184.8,ACC,0,0,0
2010,-11.0085585354082,Maine,NA,NA,NA,0,0,0
2010,2.74723712506664,Marshall,28,147.09,C-USA,0,0,0
2010,3.78737794933148,Maryland,25,195.39,Big-Ten,2,7.8,0
2010,8.84832448249687,Massachusetts,NA,NA,NA,1,8.4,0
2010,-24.3585027274335,McNeese State,NA,NA,NA,0,0,0
2010,-7.00823148817644,Memphis,40,161.97,AAC,0,0,0
2010,25.7975326254988,Miami (FL),30,242,ACC,4,14.5,0
2010,-11.2255710529182,Miami (OH),23,121.03,MAC,0,0,0
2010,5.8074134335223,Michigan,28,232.13,Big-Ten,3,21.1,0
2010,12.4407082470496,Michigan State,35,220.4,Big-Ten,1,0.4,0
2010,8.29999112871822,Middle Tennessee State,22,89.91,C-USA,1,0.5,0
2010,9.89947856649496,Minnesota,27,167.16,Big-Ten,2,8.2,0
2010,23.2699408799161,Mississippi,27,218.17,SEC,4,24.1,0
2010,16.3211632654593,Mississippi State,29,203.86,SEC,2,2.1,0
2010,-61.443599529692,Mississippi Valley State,NA,NA,NA,0,0,0
2010,14.197884941263,Missouri,25,218.93,Big-12,1,15.8,0
2010,-10.1319349454975,Missouri State,NA,NA,NA,0,0,0
2010,-25.402706232158,Montana State,NA,NA,NA,0,0,0
2010,-47.9667295049694,Morgan State,NA,NA,NA,0,0,0
2010,-48.2198303721632,Murray State,NA,NA,NA,1,2.6,0
2010,14.1049983995048,Navy,7,36.32,IND,0,0,0
2010,27.3353430813596,Nebraska,41,211.15,Big-Ten,3,36.9,0
2010,12.8292698040873,Nevada,29,128.93,M-West,0,0,0
2010,-2.51993250499792,Nevada-Las Vegas,20,124.77,M-West,1,4.3,0
2010,2.28773016218066,New Hampshire,NA,NA,NA,0,0,0
2010,-11.0006123191527,New Mexico,19,144.25,M-West,1,0.1,0
2010,-17.7539257667236,New Mexico State,21,120.9,SBC,0,0,0
2010,-38.3528745802701,Nicholls State,NA,NA,NA,0,0,0
2010,20.6789792004183,North Carolina,22,215.81,ACC,2,6.7,0
2010,-22.8549087169205,North Carolina Central,NA,NA,NA,0,0,0
2010,6.62358410704547,North Carolina State,24,197.88,ACC,2,1.2,0
2010,3.32750090432667,North Dakota,NA,NA,NA,0,0,0
2010,-6.19856891766585,North Dakota State,NA,NA,NA,0,0,0
2010,-8.86328584195487,North Texas,20,82.95,C-USA,0,0,0
2010,-35.2400242325289,Northeastern,NA,NA,NA,0,0,0
2010,3.42903993862302,Northern Arizona,NA,NA,NA,0,0,0
2010,-30.6617102278884,Northern Colorado,NA,NA,NA,0,0,0
2010,5.30339617771623,Northern Illinois,26,116.43,MAC,0,0,0
2010,22.6376735457428,Northern Iowa,NA,NA,NA,0,0,0
2010,6.3450417648436,Northwestern,17,161.49,Big-Ten,3,11.7,1
2010,-37.4788413231272,Northwestern State,NA,NA,NA,0,0,0
2010,15.7059443845719,Notre Dame,25,232.42,IND,4,21.4,1
2010,5.07044931189206,Ohio,17,93.38,MAC,1,5.9,0
2010,25.1415783524138,Ohio State,20,233.61,Big-Ten,4,4.6,0
2010,30.4805931312672,Oklahoma,31,281.85,Big-12,7,112.9,1
2010,17.3353969207732,Oklahoma State,28,204.94,Big-12,4,41,1
2010,26.8629945528224,Oregon,26,243.37,Pac-12,3,23.5,0
2010,19.087773566063,Oregon State,19,167.99,Pac-12,1,0.1,1
2010,22.1093865900225,Penn State,18,249.19,Big-Ten,6,31.4,0
2010,22.2777597517168,Pittsburgh,24,205.26,ACC,2,1.6,0
2010,-4.75564091314519,Portland State,NA,NA,NA,0,0,0
2010,-17.5973402459326,Prairie View A&M,NA,NA,NA,0,0,0
2010,8.78605414492158,Purdue,27,173.57,Big-Ten,1,9,0
2010,-20.7892923217185,Rhode Island,NA,NA,NA,0,0,0
2010,-17.6226740464056,Rice,17,123.36,C-USA,0,0,0
2010,20.1450912830792,Richmond,NA,NA,NA,0,0,0
2010,13.0788245965901,Rutgers,25,174.25,Big-Ten,3,33,0
2010,-34.3633469842061,Sacramento State,NA,NA,NA,0,0,0
2010,-48.2532022722736,Sam Houston State,NA,NA,NA,0,0,0
2010,8.89398962035565,Samford,NA,NA,NA,0,0,0
2010,-2.77777988288466,San Diego State,27,150.56,M-West,0,0,0
2010,-14.5512487648862,San Jose State,25,128.29,M-West,0,0,0
2010,17.2139287506201,South Carolina,29,213.28,SEC,2,5.2,0
2010,-3.62948572858877,South Carolina State,NA,NA,NA,1,0.1,0
2010,10.0560640872861,South Dakota State,NA,NA,NA,1,1.1,0
2010,13.2723078357755,South Florida,20,170.82,AAC,5,38.7,0
2010,-39.8393224865892,Southeast Missouri State,NA,NA,NA,0,0,0
2010,-19.5734735992925,Southeastern Louisiana,NA,NA,NA,0,0,0
2010,-27.5839810698069,Southern,NA,NA,NA,0,0,0
2010,19.0866929386134,Southern California,21,293.22,Pac-12,7,41.8,0
2010,2.90382264585782,Southern Illinois,NA,NA,NA,1,1.5,0
2010,4.79924410561616,Southern Methodist,27,151.48,AAC,1,6.5,0
2010,8.75160869057833,Southern Mississippi,27,169.74,C-USA,0,0,0
2010,-15.7484774010415,Southern Utah,NA,NA,NA,0,0,0
2010,21.4242116612742,Stanford,24,214.19,Pac-12,3,9.8,0
2010,-0.0441703735921415,Stephen F. Austin,NA,NA,NA,0,0,0
2010,2.83485594380043,Syracuse,34,160.09,ACC,2,7.6,0
2010,7.8569965972219,Temple,27,129.54,AAC,0,0,0
2010,21.7445844647632,Tennessee,28,262.7,SEC,6,55.2,1
2010,-22.6202135157577,Tennessee Tech,NA,NA,NA,0,0,0
2010,-30.8516459673853,Tennessee-Martin,NA,NA,NA,0,0,0
2010,35.8709523255171,Texas,24,311.49,Big-12,6,55.2,1
2010,12.2350298199949,Texas A&M,26,227.22,Big-12,1,0.8,0
2010,34.0584418345358,Texas Christian,18,170.47,Big-12,3,24.7,0
2010,-41.4032115519759,Texas Southern,NA,NA,NA,0,0,0
2010,2.21502735532706,Texas State,1,0,SBC,0,0,0
2010,25.1709153835357,Texas Tech,31,197.13,Big-12,1,1,0
2010,-2.58369237061397,Texas-El Paso,24,129.16,C-USA,0,0,0
2010,-5.78171873414371,Toledo,24,126.68,MAC,0,0,0
2010,-23.4983727143661,Towson,NA,NA,NA,0,0,0
2010,7.40237717500652,Troy,29,114.01,SBC,3,4.4,1
2010,-17.5150882482248,Tulane,26,123.29,AAC,0,0,0
2010,1.59021220693514,Tulsa,26,147.92,AAC,0,0,0
2010,13.2735412187584,UCLA,28,262.1,Pac-12,3,17.3,0
2010,15.8003754510496,Utah,22,186.17,Pac-12,6,28.9,0
2010,-0.0323459607809582,Utah State,30,109.53,M-West,0,0,0
2010,4.69293906170214,Vanderbilt,25,171.87,SEC,2,8.4,0
2010,14.0135821180146,Villanova,NA,NA,NA,0,0,0
2010,11.8605970632908,Virginia,37,163.05,ACC,1,12.1,0
2010,-7.3327448381026,Virginia Military Institute,NA,NA,NA,0,0,0
2010,33.1251642075864,Virginia Tech,21,203.77,ACC,5,18.4,0
2010,12.9896375850733,Wake Forest,23,160.75,ACC,2,7.7,0
2010,12.8964112350022,Washington,33,230.56,Pac-12,2,13,0
2010,-12.213357321832,Washington State,25,169.34,Pac-12,0,0,0
2010,-1.42487230899733,Weber State,NA,NA,NA,1,0.1,0
2010,16.73138033264,West Virginia,21,206.79,Big-12,1,0.1,0
2010,-37.1504754175072,Western Carolina,NA,NA,NA,0,0,0
2010,-25.5400183014925,Western Illinois,NA,NA,NA,0,0,0
2010,-16.5671002794959,Western Kentucky,16,107.11,C-USA,0,0,0
2010,-4.19621154819027,Western Michigan,25,124.47,MAC,0,0,0
2010,27.0171825840826,William & Mary,NA,NA,NA,2,1.5,0
2010,18.1878837816548,Wisconsin,36,184.46,Big-Ten,2,7.8,0
2010,-12.6133186704938,Wofford,NA,NA,NA,0,0,0
2010,-0.326666258304845,Wyoming,25,123.36,M-West,0,0,0
2011,14.7532427273296,Air Force,36,0,M-West,0,0,0
2011,-22.149571252519,Akron,22,13.72,MAC,0,0,0
2011,35.2002723533791,Alabama,26,298.5,SEC,5,78.9,1
2011,-3.80339203068412,Alabama-Birmingham,26,31.22,C-USA,0,0,0
2011,-8.4720864565524,Alcorn State,NA,NA,NA,0,0,0
2011,-13.9955991952416,Appalachian State,1,1.99,SBC,3,5.9,0
2011,24.4572847826431,Arizona,27,166.94,Pac-12,3,12.2,0
2011,26.6343255560493,Arizona State,16,144.33,Pac-12,1,0.1,0
2011,27.8895238713419,Arkansas,34,225.88,SEC,3,12.3,1
2011,-0.303508565962346,Arkansas State,22,22.37,SBC,1,0.4,0
2011,-22.4411236126368,Arkansas-Pine Bluff,NA,NA,NA,0,0,0
2011,1.91795412620897,Army,27,4.96,IND,0,0,0
2011,34.0679275992783,Auburn,33,280.98,SEC,4,53.5,1
2011,-32.568650166063,Austin Peay,NA,NA,NA,0,0,0
2011,-14.508188509393,Ball State,19,41.78,MAC,0,0,0
2011,10.1448092277506,Baylor,25,170.16,Big-12,4,30.3,0
2011,39.3530697149368,Boise State,22,159.9,M-West,3,17.9,0
2011,9.13244763005175,Boston College,26,180.05,ACC,1,14.9,0
2011,-12.8655328719169,Bowling Green State,22,43.71,MAC,0,0,0
2011,12.0518357333217,Brigham Young,18,143.97,IND,0,0,0
2011,-20.2896973267929,Buffalo,22,34.96,MAC,1,3,0
2011,-12.0957788644924,Cal Poly,NA,NA,NA,0,0,0
2011,22.384774796923,California,23,248.9,Pac-12,4,30.3,0
2011,-13.8971173859782,California-Davis,NA,NA,NA,0,0,0
