"Game_Num","Week","Date","Time","Day","Home","Location","Away","Notes","Neutral"
"641","12","Nov 12, 2016","4:30 PM","Sat","Army",NA,"Notre Dame","",0
"642","12","Nov 12, 2016","12:00 PM","Sat","Brigham Young",NA,"Southern Utah","",0
"643","12","Nov 12, 2016","12:00 PM","Sat","Buffalo",NA,"Miami (OH)","",0
"644","12","Nov 12, 2016","12:00 PM","Sat","Central Florida",NA,"Cincinnati","",0
"645","12","Nov 12, 2016","12:00 PM","Sat","Charlotte",NA,"Rice","",0
"646","12","Nov 12, 2016","12:00 PM","Sat","Clemson",NA,"Pittsburgh","",0
"647","12","Nov 12, 2016","12:00 PM","Sat","East Carolina",NA,"Southern Methodist","",0
"648","12","Nov 12, 2016","12:00 PM","Sat","Florida",NA,"South Carolina","",0
"649","12","Nov 12, 2016","12:00 PM","Sat","Florida Atlantic",NA,"Texas-El Paso","",0
"650","12","Nov 12, 2016","12:00 PM","Sat","Georgia",NA,"Auburn","",0
"651","12","Nov 12, 2016","12:00 PM","Sat","Georgia State",NA,"Louisiana-Monroe","",0
"652","12","Nov 12, 2016","12:00 PM","Sat","Hawaii",NA,"Boise State","",0
"653","12","Nov 12, 2016","12:00 PM","Sat","Houston",NA,"Tulane","",0
"654","12","Nov 12, 2016","12:00 PM","Sat","Indiana",NA,"Penn State","",0
"655","12","Nov 12, 2016","12:00 PM","Sat","Iowa",NA,"Michigan","",0
"656","12","Nov 12, 2016","12:00 PM","Sat","Kansas",NA,"Iowa State","",0
"657","12","Nov 12, 2016","12:00 PM","Sat","Louisiana Tech",NA,"Texas-San Antonio","",0
"658","12","Nov 12, 2016","12:00 PM","Sat","Louisville",NA,"Wake Forest","",0
"659","12","Nov 12, 2016","12:00 PM","Sat","Marshall",NA,"Middle Tennessee State","",0
"660","12","Nov 12, 2016","12:00 PM","Sat","Maryland",NA,"Ohio State","",0
"661","12","Nov 12, 2016","12:00 PM","Sat","Memphis",NA,"South Florida","",0
"662","12","Nov 12, 2016","12:00 PM","Sat","Michigan State",NA,"Rutgers","",0
"663","12","Nov 12, 2016","12:00 PM","Sat","Missouri",NA,"Vanderbilt","",0
"664","12","Nov 12, 2016","1:00 PM","Sat","Navy",NA,"Tulsa","",0
"665","12","Nov 12, 2016","12:00 PM","Sat","Nebraska",NA,"Minnesota","",0
"666","12","Nov 12, 2016","12:00 PM","Sat","Nevada",NA,"San Diego State","",0
"667","12","Nov 12, 2016","12:00 PM","Sat","Nevada-Las Vegas",NA,"Wyoming","",0
"668","12","Nov 12, 2016","12:00 PM","Sat","Oklahoma",NA,"Baylor","",0
"669","12","Nov 12, 2016","12:00 PM","Sat","Oklahoma State",NA,"Texas Tech","",0
"670","12","Nov 12, 2016","12:00 PM","Sat","Old Dominion",NA,"Southern Mississippi","",0
"671","12","Nov 12, 2016","12:00 PM","Sat","Oregon",NA,"Stanford","",0
"672","12","Nov 12, 2016","12:00 PM","Sat","Purdue",NA,"Northwestern","",0
"673","12","Nov 12, 2016","12:00 PM","Sat","Syracuse",NA,"North Carolina State","",0
"674","12","Nov 12, 2016","12:00 PM","Sat","Tennessee",NA,"Kentucky","",0
"675","12","Nov 12, 2016","12:00 PM","Sat","Texas",NA,"West Virginia","",0
"676","12","Nov 12, 2016","12:00 PM","Sat","Texas A&M",NA,"Mississippi","",0
"677","12","Nov 12, 2016","12:00 PM","Sat","Texas State",NA,"Idaho","",0
"678","12","Nov 12, 2016","12:00 PM","Sat","Troy",NA,"Appalachian State","",0
"679","12","Nov 12, 2016","12:00 PM","Sat","UCLA",NA,"Oregon State","",0
"680","12","Nov 12, 2016","12:00 PM","Sat","Utah State",NA,"New Mexico","",0
"681","12","Nov 12, 2016","12:00 PM","Sat","Virginia",NA,"Miami (FL)","",0
"682","12","Nov 12, 2016","12:00 PM","Sat","Virginia Tech",NA,"Georgia Tech","",0
"683","12","Nov 12, 2016","12:00 PM","Sat","Washington",NA,"Southern California","",0
"684","12","Nov 12, 2016","12:00 PM","Sat","Washington State",NA,"California","",0
"685","12","Nov 12, 2016","4:30 PM","Sat","Western Kentucky",NA,"North Texas","",0
"686","12","Nov 12, 2016","4:30 PM","Sat","Wisconsin",NA,"Illinois","",0
"687","13","Nov 15, 2016","12:00 PM","Tue","Bowling Green State",NA,"Kent State","",0
"688","13","Nov 15, 2016","12:00 PM","Tue","Central Michigan",NA,"Ohio","",0
"689","13","Nov 16, 2016","12:00 PM","Wed","Eastern Michigan",NA,"Northern Illinois","",0
"690","13","Nov 16, 2016","12:00 PM","Wed","Toledo",NA,"Ball State","",0
"691","13","Nov 17, 2016","12:00 PM","Thu","Houston",NA,"Louisville","",0
"692","13","Nov 17, 2016","10:30 PM","Thu","Troy",NA,"Arkansas State","",0
"693","13","Nov 18, 2016","12:00 PM","Fri","Boise State",NA,"Nevada-Las Vegas","",0
"694","13","Nov 18, 2016","12:00 PM","Fri","Cincinnati",NA,"Memphis","",0
"695","13","Nov 19, 2016","12:00 PM","Sat","Alabama",NA,"Chattanooga","",0
"696","13","Nov 19, 2016","12:00 PM","Sat","Appalachian State",NA,"Louisiana-Monroe","",0
"697","13","Nov 19, 2016","1:00 PM","Sat","Army",NA,"Morgan State","",0
"698","13","Nov 19, 2016","12:00 PM","Sat","Auburn",NA,"Alabama A&M","",0
"699","13","Nov 19, 2016","12:00 PM","Sat","Baylor",NA,"Kansas State","",0
"700","13","Nov 19, 2016","12:00 PM","Sat","Boston College",NA,"Connecticut","",0
"701","13","Nov 19, 2016","12:00 PM","Sat","Brigham Young",NA,"Massachusetts","",0
"702","13","Nov 19, 2016","12:00 PM","Sat","California",NA,"Stanford","",0
"703","13","Nov 19, 2016","12:00 PM","Sat","Central Florida",NA,"Tulsa","",0
"704","13","Nov 19, 2016","12:00 PM","Sat","Charlotte",NA,"Middle Tennessee State","",0
"705","13","Nov 19, 2016","12:00 PM","Sat","Colorado",NA,"Washington State","",0
