"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"420","7","Oct 17 2015","","Sat","Louisiana Tech","0",NA,"Mississippi State","0","","",366,"Louisiana Tech",430,"Mississippi State"
"421","7","Oct 17 2015","","Sat","Louisville","0",NA,"Florida State","0","","",367,"Louisville",234,"Florida State"
"422","7","Oct 17 2015","","Sat","Marshall","0",NA,"Florida Atlantic","0","","",388,"Marshall",229,"Florida Atlantic"
"423","7","Oct 17 2015","","Sat","Michigan State","0",NA,"Michigan","0","","",416,"Michigan State",418,"Michigan"
"424","7","Oct 17 2015","","Sat","Mississippi","0",NA,"Memphis","0","","",433,"Mississippi",404,"Memphis"
"425","7","Oct 17 2015","","Sat","Missouri","0",NA,"Georgia","0","","",434,"Missouri",257,"Georgia"
"426","7","Oct 17 2015","","Sat","Nebraska","0",NA,"Minnesota","0","","",463,"Nebraska",428,"Minnesota"
"427","7","Oct 17 2015","","Sat","Nevada","0",NA,"Wyoming","0","","",466,"Nevada",811,"Wyoming"
"428","7","Oct 17 2015","","Sat","Nevada-Las Vegas","0",NA,"Fresno State","0","","",465,"UNLV",96,"Fresno State"
"429","7","Oct 17 2015","","Sat","New Mexico State","0",NA,"Georgia Southern","0","","",472,"New Mexico State",253,"Georgia Southern"
"430","7","Oct 17 2015","","Sat","Northern Illinois","0",NA,"Miami (OH)","0","","",503,"Northern Illinois",414,"Miami (Ohio)"
"431","7","Oct 17 2015","","Sat","Oklahoma","0",NA,"Kansas State","0","","",522,"Oklahoma",327,"Kansas State"
"432","7","Oct 17 2015","","Sat","Oregon","0",NA,"Washington","0","","",529,"Oregon",756,"Washington"
"433","7","Oct 17 2015","","Sat","Oregon State","0",NA,"Washington State","0","","",528,"Oregon State",754,"Washington State"
"434","7","Oct 17 2015","","Sat","Penn State","0",NA,"Ohio State","0","","",539,"Penn State",518,"Ohio State"
"435","7","Oct 17 2015","","Sat","Pittsburgh","0",NA,"Georgia Tech","0","","",545,"Pittsburgh",255,"Georgia Tech"
"436","7","Oct 17 2015","","Sat","Purdue","0",NA,"Wisconsin","0","","",559,"Purdue",796,"Wisconsin"
"437","7","Oct 17 2015","","Sat","Rutgers","0",NA,"Indiana","0","","",587,"Rutgers",306,"Indiana"
"438","7","Oct 17 2015","","Sat","San Diego State","0",NA,"San Jose State","0","","",626,"San Diego State",630,"San Jose State"
"439","7","Oct 17 2015","","Sat","South Florida","0",NA,"Connecticut","0","","",651,"South Florida",164,"Connecticut"
"440","7","Oct 17 2015","","Sat","Southern California","0",NA,"Notre Dame","0","","",657,"USC",513,"Notre Dame"
"441","7","Oct 17 2015","","Sat","Syracuse","0",NA,"Virginia","0","","",688,"Syracuse",746,"Virginia"
"442","7","Oct 17 2015","","Sat","Texas Christian","0",NA,"Iowa State","0","","",698,"TCU",311,"Iowa State"
"443","7","Oct 17 2015","","Sat","Texas Tech","0",NA,"Kansas","0","","",700,"Texas Tech",328,"Kansas"
"444","7","Oct 17 2015","","Sat","Texas-San Antonio","0",NA,"Southern Mississippi","0","","",706,"UTSA",664,"Southern Mississippi"
"445","7","Oct 17 2015","","Sat","Tulsa","0",NA,"East Carolina","0","","",719,"Tulsa",196,"East Carolina"
"446","7","Oct 17 2015","","Sat","UNC Charlotte","0",NA,"Old Dominion","0","","",NA,NA,523,"Old Dominion"
"447","7","Oct 17 2015","","Sat","Vanderbilt","0",NA,"South Carolina","0","","",736,"Vanderbilt",648,"South Carolina"
"448","7","Oct 17 2015","","Sat","Virginia Tech","0",NA,"Miami (FL)","0","","",742,"Virginia Tech",415,"Miami (Florida)"
"449","7","Oct 17 2015","","Sat","Wake Forest","0",NA,"North Carolina","0","","",749,"Wake Forest",457,"North Carolina"
"450","7","Oct 17 2015","","Sat","West Virginia","0",NA,"Baylor","0","","",768,"West Virginia",51,"Baylor"
"451","7","Oct 17 2015","","Sat","Western Kentucky","0",NA,"North Texas","0","","",772,"Western Kentucky",497,"North Texas"
"452","7","Oct 17 2015","","Sat","Western Michigan","0",NA,"Ohio","0","","",774,"Western Michigan",519,"Ohio"
"453","8","Oct 20 2015","","Tue","Louisiana-Lafayette","0",NA,"Arkansas State","0","","",671,"Louisiana-Lafayette",30,"Arkansas State"
"454","8","Oct 22 2015","","Thu","California","0",NA,"UCLA","0","","",107,"California",110,"UCLA"
"455","8","Oct 22 2015","","Thu","Georgia Southern","0",NA,"Appalachian State","0","","",253,"Georgia Southern",27,"Appalachian State"
"456","8","Oct 22 2015","","Thu","Temple","0",NA,"East Carolina","0","","",690,"Temple",196,"East Carolina"
"457","8","Oct 23 2015","","Fri","Memphis","0",NA,"Tulsa","0","","",404,"Memphis",719,"Tulsa"
